,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
481,180.4664001,8.892578125,8.860351563,9.0859375,57.06835938,0.148925781,51.86767578,28.35083008,7340.008789,16.95422554,8.065374374
482,180.4968719,8.85546875,8.825195313,9.026367188,57.04497147,0.147155762,51.19018555,28.09448242,7156.864258,16.71249962,8.046711922
483,180.34452819999998,8.885742188,8.8515625,9.043945313,57.04497147,0.148376465,51.26342773,28.18603516,6998.62207,16.84886551,8.037116051
484,180.34452819999998,8.880859375,8.844726563,9.041015625,57.05666733,0.148193359,51.21459961,28.11279297,7293.712401999999,16.64519501,8.065910339
485,180.375,8.837890625,8.806640625,9.0390625,56.99819565,0.145935059,51.092529299999995,28.0090332,7298.731934,16.69025993,8.06341362
505,180.375,8.928710938,8.890625,9.086914063,57.384109499999994,0.148803711,51.32446289,28.16162109,7282.406738,16.59685898,7.96818018
506,180.4511719,8.90234375,8.868164063,9.067382813,57.32563782,0.147644043,51.21459961,28.03955078,7227.30127,16.64087677,7.971284866
507,180.4359436,8.909179688,8.875976563,9.08203125,57.37241364,0.147155762,51.13525391,27.97241211,7074.519531,16.38450813,7.970299244
508,180.34452819999998,8.879882813,8.841796875,9.057617188,57.15022278,0.14666748,51.04980469,27.89916992,6970.221191,16.24307251,8.025227547
509,180.4664001,8.8984375,8.86328125,9.056640625,57.34902573,0.144958496,50.81787109,27.734375,6979.84668,16.086818700000002,7.973185062000001
575,180.3140564,8.932617188,8.891601563,9.086914063,57.1969986,0.15173339800000002,51.77001953,28.55224609,7094.765137,17.33135414,8.023732185
576,180.375,8.923828125,8.887695313,9.081054688,57.15022278,0.15148925800000002,51.7578125,28.60717773,7557.155273,17.80349922,8.022337914
577,180.40547180000002,8.9140625,8.87890625,9.0859375,57.17361069,0.150634766,51.62353516,28.41796875,6952.24707,17.19561005,7.999611855
578,180.3140564,8.909179688,8.875,9.0625,57.08005524,0.15020752,51.46484375,28.29589844,7098.205566,17.17148972,8.00621891
579,180.375,8.887695313,8.853515625,9.067382813,57.0098877,0.14965820300000002,51.48925781,28.27148438,7056.811035,16.964363100000003,8.033016205
580,180.40547180000002,8.91015625,8.872070313,9.068359375,57.10344315,0.149719238,51.51367188,28.28369141,7016.477539,17.24792099,7.994659901
581,180.3140564,8.899414063,8.86328125,9.059570313,57.16191483,0.148376465,51.33056641,28.16772461,7396.75,16.85623169,8.025289536
582,180.4968719,8.907226563,8.872070313,9.0859375,57.1969986,0.148925781,51.37939453,28.21655273,7178.578125,17.08631134,7.992311954
583,180.39022830000002,8.88671875,8.850585938,9.05859375,57.0917511,0.14831543,51.30615234,28.21655273,7097.345703,17.00227356,8.002791405
584,180.4207001,8.936523438,8.897460938,9.083984375,57.23208237,0.151306152,51.66015625,28.48510742,7559.577637,17.99342155,8.044531822
585,180.3292999,8.942382813,8.904296875,9.108398438,57.13852692,0.153747559,52.02636719,28.74145508,7324.609375,18.10058975,8.012350082000001
586,180.40547180000002,8.948242188,8.912109375,9.098632813,57.11513901,0.154541016,52.24609375,28.86962891,7535.317383,17.73935699,8.002289772000001
587,180.3140564,8.965820313,8.922851563,9.110351563,57.20869446,0.15423584,52.09960938,28.82080078,6988.148926000001,18.22303391,8.015352249
588,180.4511719,8.959960938,8.922851563,9.133789063,57.22038651,0.153930664,52.20947266,28.85131836,7085.726562999999,18.40630913,8.022199631
589,180.3292999,8.96484375,8.927734375,9.124023438,57.16191483,0.155761719,52.38037109,29.04052734,6975.910645,18.85232544,8.016479492
590,180.39022830000002,8.967773438,8.9296875,9.114257813,57.13852692,0.154296875,52.21557617,28.85742188,7369.055664,18.64275742,8.036540985
591,180.35977169999998,8.948242188,8.912109375,9.100585938,57.13852692,0.152404785,51.97143555,28.65600586,7174.750977,17.95308495,8.022485733
592,180.2988281,8.915039063,8.87890625,9.05859375,57.13852692,0.149230957,51.483154299999995,28.25927734,7011.256348000001,16.90932465,8.03053093
593,180.4511719,8.920898438,8.884765625,9.084960938,57.22038651,0.150146484,51.45874023,28.33251953,7029.947754000001,17.29412079,7.9543752670000005
594,180.35977169999998,8.890625,8.85546875,9.045898438,56.97480774,0.149841309,51.50146484,28.33862305,7288.270995999999,17.11033249,8.042029381
595,180.39022830000002,8.903320313,8.866210938,9.048828125,57.18530273,0.148803711,51.47705078,28.28979492,7295.804198999999,17.039505,7.97989893
596,180.4511719,8.892578125,8.854492188,9.063476563,57.03327942,0.150268555,51.52587891,28.33862305,7356.206055,17.29037857,7.970012187999999
597,180.35977169999998,8.909179688,8.873046875,9.0625,57.15022278,0.14978027300000002,51.50146484,28.35693359,7024.736328,17.44740868,8.024810791
598,180.48164369999998,8.908203125,8.872070313,9.076171875,57.32563782,0.148864746,51.40380859,28.21044922,7439.124512,16.91191864,7.990258217
599,180.4207001,8.87890625,8.846679688,9.045898438,57.08005524,0.14709472699999998,51.092529299999995,27.96020508,7059.837890999999,16.5252552,7.999105452999999
600,180.39022830000002,8.876953125,8.84375,9.0390625,57.13852692,0.145019531,50.78735352,27.72827148,6995.569336,16.24278831,8.009706497
601,180.5121155,8.853515625,8.82421875,9.033203125,57.0098877,0.143859863,50.57373047,27.57568359,7253.434081999999,15.89258099,8.069554328999999
